Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,55106020,55166818,55281216,55448692,55541082,55629386,55682205,55733101,55790146,55856220,55920286,55970063
2011,56011050,56042724,56058946,56066509,56086356,56128700,56194483,56272630,56345201,56400087,56424200,56416316
2012,56393978,56384535,56397802,56422678,56459218,56506522,56558027,56615406,56681759,56739033,56774693,56784754
2013,56762116,56736758,56721390,56733918,56760984,56784326,56792925,56772493,56727585,56689436,56682144,56706689
2014,56736103,56786738,56833746,56866014,56888464,56919813,56961641,57016590,57077558,57123205,57140092,57143233
2015,57120907,57136974,57167024,57204747,57235962,57249023,57253729,57264643,57294395,57361806,57469479,57593398
2016,57707831,57801063,57871412,57933196,58006185,58095822,58197725,58304091,58406705,58494166,58568760,58640966
2017,58717263,58796379,58871711,58946891,59022968,59097733,59170275,59231020,59276467,59311029,59338431,59367709
2018,59412693,59481940,59565444,59633775,59672643,59692213,59706878,59740955,59807928,59904015,60013852,60112491
