Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
2010,8.9,8.9,8.9,8.8,8.7,8.6,8.5,8.5,8.5,8.5,8.5,8.4,8.6
2011,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
2012,8.1,8.1,8.2,8.2,8.2,8.3,8.2,8.2,8.1,8.1,8.0,8.0,8.1
2013,7.9,7.9,7.8,7.7,7.6,7.6,7.5,7.4,7.3,7.2,7.0,6.9,7.5
2014,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.9,5.8,5.7,6.2
2015,5.6,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5.0,4.9,4.9,4.9,5.2
2016,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.6,4.8
2017,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.5
2018,4.3,4.2,4.2,4.1,4.0,4.0,3.9,3.8,3.8,3.8,3.8,3.8,4.0
